iter	Passed	Remaining
892	102150	12239
893	102282	12127
894	102382	12011
895	102496	11896
896	102612	11782
897	102727	11668
898	102833	11553
899	102911	11434
900	103000	11317
901	103104	11202
902	103209	11086
903	103314	10971
904	103433	10857
905	103547	10743
906	103660	10628
907	103750	10512
908	103876	10399
909	104018	10287
910	104141	10174
911	104281	10062
912	104397	9948
913	104492	9831
914	104607	9717
915	104711	9602
916	104795	9485
917	104910	9371
918	105040	9258
919	105166	9144
920	105290	9031
921	105403	8917
922	105510	8802
923	105607	8686
924	105717	8571
925	105800	8454
926	105929	8341
927	106057	8228
928	106191	8115
929	106319	8002
930	106435	7888
931	106529	7772
932	106639	7657
933	106731	7542
934	106856	7428
935	106956	7313
936	107062	7198
937	107142	7081
938	107273	6968
939	107398	6855
940	107522	6741
941	107647	6628
942	107769	6514
943	107897	6400
944	108019	6286
945	108128	6172
946	108219	6056
947	108310	5941
948	108396	5825
949	108487	5709
950	108625	5596
951	108746	5483
952	108863	5368
953	108972	5254
954	109075	5139
955	109162	5024
956	109271	4909
957	109369	4794
958	109485	4680
959	109609	4567
960	109708	4452
961	109816	4337
962	109926	4223
963	110042	4109
964	110141	3994
965	110260	3880
966	110382	3766
967	110513	3653
968	110641	3539
969	110760	3425
970	110870	3311
971	110978	3196
972	111095	3082
973	111202	2968
974	111310	2854
975	111447	2740
976	111567	2626
977	111690	2512
978	111823	2398
979	111941	2284
980	112050	2170
981	112151	2055
982	112296	1942
983	112443	1828
984	112563	1714
985	112696	1600
986	112838	1486
987	112966	1372
988	113098	1257
989	113216	1143
990	113342	1029
991	113476	915
992	113595	800
993	113716	686
994	113823	571
995	113906	457
996	114034	343
997	114168	228
998	114291	114
999	114435	0
